citation,location,estimate,lowerbound,upperbound
"Arceo, Hanna, Oliva 2016",Mexico City,8.6,2.7,14.5
Heft-Neal et al 2018,Africa,9.3,3.9,14.6
Chay and Greenstone 2003a ,US,11.0,2.8,19.3
Chay and Greenstone 2003b,US,17.9,2.8,33.0
Cesur et al 2016,Turkey,22.7,4.3,41.1
Adhvaryu et al 2018,West Africa,23.0,8.0,38.1
He et al 2016,China,27.1,6.4,47.9
Knittel et al 2016,California,34.3,15.2,53.3
